StateCode,Id,Latitude,Longitude,Elevation,TimeZone,PrimaryCity
FL,32310,30.384952,-84.500468,160,-5,TALLAHASSEE
FL,32311,30.363739,-84.163013,160,-5,TALLAHASSEE
FL,32312,30.579714,-84.205600,160,-5,TALLAHASSEE
FL,32313,30.439600,-84.280700,160,-5,TALLAHASSEE
FL,32314,30.438200,-84.280800,160,-5,TALLAHASSEE
FL,32315,30.438200,-84.280800,160,-5,TALLAHASSEE
FL,32316,30.438200,-84.280800,160,-5,TALLAHASSEE
FL,32317,30.467774,-84.126652,160,-5,TALLAHASSEE
FL,32318,30.556700,-84.176600,160,-5,TALLAHASSEE
FL,32320,29.726682,-85.088864,17,-5,APALACHICOLA
FL,32321,30.288897,-84.967902,168,-5,BRISTOL
FL,32322,29.894965,-84.663192,17,-5,CARRABELLE
FL,32323,29.878909,-84.597203,17,-5,LANARK VILLAGE
FL,32324,30.649181,-84.784764,187,-5,CHATTAHOOCHEE
FL,32326,30.175800,-84.375400,25,-5,CRAWFORDVILLE
FL,32327,30.173134,-84.311774,25,-5,CRAWFORDVILLE
FL,32328,29.800580,-84.895598,17,-5,EASTPOINT
FL,32329,29.725900,-84.983300,17,-5,APALACHICOLA
FL,32330,30.574412,-84.739082,187,-5,GREENSBORO
FL,32331,30.447165,-83.649934,120,-5,GREENVILLE
FL,32332,30.614775,-84.667248,187,-5,GRETNA
FL,32333,30.594570,-84.399903,187,-5,HAVANA
FL,32334,30.263916,-84.766174,168,-5,HOSFORD
FL,32335,30.050223,-85.079028,168,-5,SUMATRA
FL,32336,30.257038,-83.898905,202,-5,LAMONT
FL,32337,30.473837,-84.019310,202,-5,LLOYD
FL,32340,30.453366,-83.405166,120,-5,MADISON
FL,32341,30.464900,-83.413800,120,-5,MADISON
FL,32343,30.492114,-84.456296,187,-5,MIDWAY
FL,32344,30.468599,-83.859098,202,-5,MONTICELLO
FL,32345,30.545900,-83.868200,202,-5,MONTICELLO
FL,32346,29.975935,-84.427006,25,-5,PANACEA
FL,32347,30.093209,-83.669483,42,-5,PERRY
FL,32348,29.899208,-83.553310,42,-5,PERRY
FL,32350,30.587590,-83.326005,120,-5,PINETTA
FL,32351,30.510516,-84.669896,187,-5,QUINCY
FL,32352,30.638454,-84.593939,187,-5,QUINCY
FL,32353,30.586600,-84.583600,187,-5,QUINCY
FL,32355,30.160693,-84.213462,25,-5,SAINT MARKS
FL,32356,29.807849,-83.385455,42,-5,SALEM
FL,32357,30.268424,-83.615742,42,-5,SHADY GROVE
FL,32358,30.135830,-84.572748,25,-5,SOPCHOPPY
FL,32359,29.631199,-83.332890,42,-5,STEINHATCHEE
FL,32360,30.191992,-84.849198,168,-5,TELOGIA
FL,32361,30.356544,-83.992572,202,-5,WACISSA
FL,32362,30.311300,-84.248800,160,-5,WOODVILLE
FL,32395,30.438200,-84.280800,160,-5,TALLAHASSEE
FL,32399,30.419694,-84.233280,160,-5,TALLAHASSEE
FL,32401,30.161352,-85.668828,33,-6,PANAMA CITY
FL,32402,30.158800,-85.660300,33,-6,PANAMA CITY
FL,32403,30.036950,-85.538357,33,-6,PANAMA CITY
FL,32404,30.190935,-85.502232,33,-6,PANAMA CITY
FL,32405,30.204027,-85.672178,33,-6,PANAMA CITY
FL,32406,30.158800,-85.660300,33,-6,PANAMA CITY
FL,32407,30.212414,-85.794488,33,-6,PANAMA CITY BEACH
FL,32408,30.154595,-85.759372,33,-6,PANAMA CITY
FL,32409,30.337724,-85.717644,33,-6,PANAMA CITY
FL,32410,29.945223,-85.414043,33,-6,MEXICO BEACH
FL,32411,30.158800,-85.660300,33,-6,PANAMA CITY
FL,32412,30.158800,-85.660300,33,-6,PANAMA CITY
FL,32413,30.309241,-85.936658,33,-6,PANAMA CITY BEACH
FL,32417,30.158800,-85.660300,33,-6,PANAMA CITY
FL,32420,30.646487,-85.389098,117,-6,ALFORD
FL,32421,30.517054,-85.204629,69,-6,ALTHA
FL,32422,30.713986,-86.040246,193,-6,ARGYLE
FL,32423,30.919988,-85.045852,117,-6,BASCOM
FL,32424,30.403165,-85.062812,69,-6,BLOUNTSTOWN
FL,32425,30.825743,-85.732407,160,-6,BONIFAY
FL,32426,30.943179,-85.370586,117,-6,CAMPBELLTON
FL,32427,30.717134,-85.795610,119,-6,CARYVILLE
FL,32428,30.633716,-85.579558,119,-6,CHIPLEY
FL,32430,30.400377,-85.267353,69,-6,CLARKSVILLE
FL,32431,30.807163,-85.409444,117,-6,COTTONDALE
FL,32432,30.715808,-85.076419,117,-6,CYPRESS
FL,32433,30.824765,-86.214782,193,-6,DEFUNIAK SPRINGS
FL,32434,30.743300,-86.315100,193,-6,MOSSY HEAD
FL,32435,30.631924,-86.182408,193,-6,DEFUNIAK SPRINGS
FL,32437,30.420122,-85.908127,119,-6,EBRO
FL,32438,30.501442,-85.413296,33,-6,FOUNTAIN
FL,32439,30.498212,-86.155213,193,-6,FREEPORT
FL,32440,30.902401,-85.511010,117,-6,GRACEVILLE
FL,32442,30.723110,-84.991930,117,-6,GRAND RIDGE
FL,32443,30.875773,-85.126642,117,-6,GREENWOOD
FL,32444,30.230602,-85.643640,33,-6,LYNN HAVEN
